@RELATION film_success

@ATTRIBUTE Longi            NUMERIC
@ATTRIBUTE Lat              NUMERIC
@ATTRIBUTE Temp             NUMERIC
@ATTRIBUTE Humid            NUMERIC
@ATTRIBUTE Light            NUMERIC
@ATTRIBUTE Dust             NUMERIC
@ATTRIBUTE airquality       NUMERIC
@ATTRIBUTE result           {Good,Bad}

@DATA
42.36502,-71.096538,9.5,45.5,0,487.16,33,Bad
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Bad
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Bad
6.13995,46.220411,7.6,59.6,0,274.92,33,Bad
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Bad
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Bad
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Good
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Good
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Good
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Good
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Good
42.36502,-71.096538,9.5,45.5,0,487.16,33,Good
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Good
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Good
6.13995,46.220411,7.6,59.6,0,274.92,33,Bad
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Good
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Bad
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Good
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Bad
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Bad
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Bad
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Bad
42.36502,-71.096538,9.5,45.5,0,487.16,33,Good
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Good
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Bad
6.13995,46.220411,7.6,59.6,0,274.92,33,Good
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Bad
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Bad
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Good
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Good
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Good
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Bad
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Bad
42.36502,-71.096538,9.5,45.5,0,487.16,33,Bad
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Good
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Bad
6.13995,46.220411,7.6,59.6,0,274.92,33,Good
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Bad
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Good
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Bad
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Good
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Good
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Bad
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Good
42.36502,-71.096538,9.5,45.5,0,487.16,33,Bad
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Good
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Good
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Good
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Good
6.13995,46.220411,7.6,59.6,0,274.92,33,Good
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Good
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Good
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Bad
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Bad
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Bad
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Good
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Good
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Good
42.36502,-71.096538,9.5,45.5,0,487.16,33,Good
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Bad
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Bad
6.13995,46.220411,7.6,59.6,0,274.92,33,Bad
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Bad
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Good
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Good
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Good
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Good
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Bad
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Bad
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Bad
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Bad
42.36502,-71.096538,9.5,45.5,0,487.16,33,Bad
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Good
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Good
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Good
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Good
6.13995,46.220411,7.6,59.6,0,274.92,33,Good
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Bad
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Bad
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Bad
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Bad
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Bad
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Bad
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Bad
42.36502,-71.096538,9.5,45.5,0,487.16,33,Good
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Good
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Good
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Good
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Good
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Good
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Bad
6.13995,46.220411,7.6,59.6,0,274.92,33,Bad
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Bad
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Bad
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Bad
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Bad
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Bad
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Bad
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Bad
42.36502,-71.096538,9.5,45.5,0,487.16,33,Bad
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Bad
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Bad
6.13995,46.220411,7.6,59.6,0,274.92,33,Bad
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Bad
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Bad
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Good
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Good
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Good
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Good
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Good
42.36502,-71.096538,9.5,45.5,0,487.16,33,Good
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Good
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Good
6.13995,46.220411,7.6,59.6,0,274.92,33,Bad
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Good
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Bad
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Good
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Bad
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Bad
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Bad
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Bad
42.36502,-71.096538,9.5,45.5,0,487.16,33,Good
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Good
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Bad
6.13995,46.220411,7.6,59.6,0,274.92,33,Good
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Bad
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Bad
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Good
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Good
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Good
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Bad
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Bad
42.36502,-71.096538,9.5,45.5,0,487.16,33,Bad
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Good
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Bad
6.13995,46.220411,7.6,59.6,0,274.92,33,Good
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Bad
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Good
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Bad
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Good
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Good
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Bad
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Good
42.36502,-71.096538,9.5,45.5,0,487.16,33,Bad
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Good
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Good
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Good
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Good
6.13995,46.220411,7.6,59.6,0,274.92,33,Good
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Good
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Good
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Bad
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Bad
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Bad
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Good
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Good
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Good
42.36502,-71.096538,9.5,45.5,0,487.16,33,Good
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Bad
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Bad
6.13995,46.220411,7.6,59.6,0,274.92,33,Bad
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Bad
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Good
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Good
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Good
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Good
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Bad
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Bad
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Bad
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Bad
42.36502,-71.096538,9.5,45.5,0,487.16,33,Bad
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Good
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Good
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Good
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Good
6.13995,46.220411,7.6,59.6,0,274.92,33,Good
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Bad
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Bad
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Bad
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Bad
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Bad
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Bad
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Bad
42.36502,-71.096538,9.5,45.5,0,487.16,33,Good
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Good
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Good
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Good
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Good
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Good
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Bad
6.13995,46.220411,7.6,59.6,0,274.92,33,Bad
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Bad
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Bad
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Bad
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Bad
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Bad
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Bad
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Bad
42.36502,-71.096538,9.5,45.5,0,487.16,33,Bad
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Bad
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Bad
6.13995,46.220411,7.6,59.6,0,274.92,33,Bad
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Bad
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Bad
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Good
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Good
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Good
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Good
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Good
42.36502,-71.096538,9.5,45.5,0,487.16,33,Good
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Good
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Good
6.13995,46.220411,7.6,59.6,0,274.92,33,Bad
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Good
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Bad
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Good
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Bad
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Bad
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Bad
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Bad
42.36502,-71.096538,9.5,45.5,0,487.16,33,Good
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Good
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Bad
6.13995,46.220411,7.6,59.6,0,274.92,33,Good
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Bad
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Bad
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Good
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Good
-71.106167,42.372802,-0.1,65.3,0,367.38,26,Good
-43.1833012,-22.913566699999997,31.5,58.3,0,239.96,27,Bad
103.79258100000001,1.302858,27.6,69.7,40,507.35,23,Bad
42.36502,-71.096538,9.5,45.5,0,487.16,33,Bad
12.96145,77.64425899999999,22.3,49.5,0,1525.99,14,Bad
121.7588735,31.2327278,7.6,72.2,63,2664.57,34,Bad
103.862409,1.3104200000000001,27.1,70.0,294,472.66,18,Bad
-71.107039,42.370754999999996,-0.2,62.3,0,1106.5,20,Bad
-43.244374,-22.927468,32.5,45.5,0,535.97,27,Good
121.50631000000001,31.282182000000002,11.2,57.4,24,647.04,52,Bad
-122.40326249999998,37.796217299999995,20.9,38.1,1407,1766.11,22,Bad
6.161993900000001,46.1972488,8.3,47.0,0,769.26,18,Bad
6.13995,46.220411,7.6,59.6,0,274.92,33,Good
6.156988953133464,46.203432533125905,13.2,38.5,0,1056.58,32,Bad
-71.089624,42.3443141,3.1,54.0,0,311.34,30,Bad
77.61856,13.004380000000001,22.5,48.1,0,1501.23,17,Bad
-22.9273149,-43.2401755,33.7,45.9,0,690.09,19,Good
-22.899458499999998,-43.128120700000004,31.2,60.4,0,1208.45,19,Bad
-22.980901,-43.234095,32.1,44.2,0,454.05,22,Bad
103.784951,1.3088549999999999,28.3,63.3,531,617.9,21,Good



